distance,0.8,0.6,0.4,0.2,name
33.96,0.003749,0.024128,0.036789,0.039268,GarbageFinal
40.75,0.004197,0.022613,0.031279,0.033651,GarbageFinal
47.55,0.004172,0.017611,0.027535,0.029386,GarbageFinal
54.34,0.005415,0.017133,0.023517,0.027240,GarbageFinal
61.13,0.007394,0.017571,0.021288,0.024120,GarbageFinal
67.92,0.005950,0.013193,0.020665,0.022762,GarbageFinal
74.72,0.007792,0.012300,0.018641,0.021335,GarbageFinal
81.51,0.005702,0.010660,0.017239,0.020020,GarbageFinal
88.3,0.006819,0.011968,0.018111,0.019276,GarbageFinal
95.09,0.003800,0.010980,0.016864,0.018479,GarbageFinal
101.89,0.003882,0.010381,0.015387,0.017600,GarbageFinal
108.68,0.004996,0.009502,0.014045,0.017019,GarbageFinal
3.27,0.000771,0.000771,0.000792,0.001114,drawer
6.55,0.000552,0.000552,0.000567,0.000568,drawer
9.82,0.001892,0.001893,0.001893,0.001893,drawer
13.09,0.000013,0.000020,0.000023,0.000034,drawer
16.37,0.002998,0.002998,0.002998,0.002998,drawer
19.64,0.000026,0.000025,0.000024,0.000039,drawer
22.91,0.002837,0.002837,0.002834,0.002837,drawer
26.18,0.002297,0.002298,0.002298,0.002298,drawer
29.46,0.003842,0.003842,0.003842,0.003842,drawer
32.73,0.002238,0.002242,0.002237,0.002236,drawer
36.0,0.000895,0.000895,0.000896,0.000895,drawer
39.28,0.000035,0.000036,0.000036,0.000036,drawer
42.55,0.001505,0.001507,0.001504,0.001502,drawer
45.82,0.000524,0.000525,0.000524,0.000524,drawer
0.98,0.017204,0.131997,0.172868,0.231878,BigCabin
1.97,0.011914,0.068965,0.094058,0.148479,BigCabin
2.95,0.009221,0.049748,0.068060,0.113412,BigCabin
3.94,0.005246,0.037816,0.055347,0.092074,BigCabin
4.92,0.005263,0.031274,0.044233,0.073041,BigCabin
5.91,0.003445,0.027217,0.034812,0.061671,BigCabin
6.89,0.002423,0.022220,0.028763,0.056078,BigCabin
7.88,0.001514,0.021765,0.023471,0.051014,BigCabin
8.86,0.001508,0.019757,0.022516,0.045966,BigCabin
9.84,0.001143,0.017221,0.018503,0.040963,BigCabin
10.83,0.001120,0.016776,0.017566,0.038908,BigCabin
11.81,0.000511,0.014606,0.017236,0.037477,BigCabin
12.8,0.001173,0.012519,0.011977,0.034732,BigCabin
13.78,0.000977,0.012953,0.013440,0.034151,BigCabin
14.77,0.000461,0.011330,0.012187,0.031727,BigCabin
15.75,0.000396,0.010413,0.011011,0.031631,BigCabin
16.74,0.001006,0.009413,0.011299,0.030269,BigCabin
17.72,0.000588,0.008698,0.008748,0.027482,BigCabin
18.7,0.000338,0.008874,0.009672,0.026586,BigCabin
19.69,0.000319,0.006999,0.009141,0.027251,BigCabin
20.67,0.000203,0.006173,0.008225,0.026183,BigCabin
21.66,0.000280,0.005517,0.005897,0.024344,BigCabin
16
